Título,Autores,Ano,Link
O reconhecimento facial nas smart cities ea garantia dos direitos à privacidade e à proteção de dados pessoais.,"['D Dal Magro', 'V Borges Fortes']",2021,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=2236997X&AN=153808868&h=fRIoEGGlaledm1YirSimpsrq8Xvxgfcrr2HI4cpnFiAafT%2Fq0yM4mbd3uBB1EfPeTGVNDlm%2BFOmFapTe1svWVw%3D%3D&crl=c
Inteligência artificial e educação: refletindo sobre os desafios contemporâneos,['L Alves'],2023,https://repositorio.ufba.br/handle/ri/38646
Uso de baropodômetros e inteligência artificial para separação de grau de escoliose,['AHM Costa'],2023,https://repositorio.unesp.br/items/89235537-2fd6-45bb-bd4f-d97c68eb1648
Oportunidades e Desafios da Inteligência Artificial no setor público: o caso do Tribunal de Contas de Portugal,['LR Schneider'],2021,https://search.proquest.com/openview/d3b4284fe48921cec9c1d67ff7f470ec/1?pq-origsite=gscholar&cbl=2026366&diss=y
Escalonador inteligente de tarefas para aplicações robóticas.,['JRS FERREIRA'],1999,http://dspace.sti.ufcg.edu.br:8080/xmlui/handle/riufcg/11507
Sistemas de Recomendação: abordagens utilizando dados implícitos,['RA Bivar'],2021,https://repositorio.ufpb.br/jspui/handle/123456789/31729
Processamento de linguagem natural ea Ciência da Informação: inter-relações e contribuições,['KRA Benin'],2023,http://riut.utfpr.edu.br/jspui/handle/1/32098
Inteligência Artificial em Cardiologia,"['FB Jatene', 'JM Junior', 'MA Moretti']",NA,https://ltia.com.br/wp-content/uploads/2024/01/IA_em_Cardiologia_Livro-1.pdf
Agrupamento no OpenRe ne: analise de desempenho para agrupamento de itens com variações ortográficas em documentos fiscais,['SAT Carvalho'],2023,https://repositorio.ufpb.br/jspui/handle/123456789/31737
Uma abordagem para a aprendizagem de Programação baseada em Chats Inteligentes,"['UCL Paulista', 'CR Ribeiro', 'R Bonacin']",NA,http://www.cc.faccamp.br/Dissertacoes/ClaudioRobertoRibeiro.pdf
Um serviço de informação bibliográfica via internet-SEI-Bib.,['CMS TEIXEIRA'],1997,http://dspace.sti.ufcg.edu.br:8080/xmlui/handle/riufcg/6295
INTELIGÊNCIA ARTIFICIAL NA SAÚDE,['PÉAÀ PRIVACIDADE'],NA,https://repositorio-aberto.up.pt/bitstream/10216/164486/2/701982.pdf#page=227
Memorial descritivo de atividades acadêmicas,['MZ Nascimento'],2022,https://repositorio.ufu.br/handle/123456789/35853
Inteligência Artificial para a deteção automática de lesões patológicas do cancro da mama: melhoria da precisão na deteção de tumores por recurso à extração de …,['ACF Pinto'],2024,https://comum.rcaap.pt/handle/10400.26/54417
Inteligência artificial aplicada ao direito tributário: um novo modelo na construção de uma justiça fiscal?,['PMP Pasetti'],2019,https://repositorio.pucrs.br/dspace/bitstream/10923/16015/4/DIS_PAULO_MARCELO_PINHEIRO_PASETTI_COMPLETO.pdf
Classificação de Estilo Arquitetônico através de Rede Neural Convolucional Potencializada por Unidades de Processamento Neural para Dispositivos Móveis,['GHM Dias'],2024,https://repositorio.ufpb.br/jspui/handle/123456789/32535
Proposta de modelo de peticionamento inteligente para processos de divórcio consensual no Brasil,['AJ Rover'],2018,https://repositorio.ufsc.br/handle/123456789/210649
Aplicação de Learning Analytics para Modelagem do Aluno de acordo com a Taxonomia de Bloom Revisada,['JN Carneiro'],2018,https://repositorio.ufpb.br/jspui/handle/123456789/14483
Aprendizagem de máquina em apoio a diagnóstico em ortopedia,['MCR Silva'],2016,https://repositorio.sis.puc-campinas.edu.br/xmlui/handle/123456789/15027
Uso do Processo de Avaliação Mútua aliado a Conceitos de Gamificação como suporte ao Estudo Colaborativo em Ambientes de EaD,['AJ Nascimento'],2016,https://repositorio.ufpb.br/handle/tede/9241
"Múltiplas inteligências, criação e interatividade no ambiente virtual de aprendizagem edulivre",['LL Borges'],2010,https://repositorio.ufpb.br/handle/tede/4915
Fundação Instituto de Administração Faculdade FIA de Administração e Negócios Programa de Mestrado Profissional em Gestão de Negócios,['MV Azócar'],NA,http://www.fundacaofia.com.br/utilitaria/pdf/dissertacoes/Marcelo%20Azocar_VERS%C3%83O%20FINAL.pdf
O APRIMORAMENTO DA QUALIDADE DA DECISÃO JUDICIAL APOIADO EM MODELOS DE INTELIGÊNCIA ARTIFICIAL E SUA CONTRIBUIÇÃO PARA A …,['AJ MENDES'],NA,https://archivum.grupomarista.org.br/pergamumweb/vinculos/000099/000099e9.pdf
Apresentação e Organização,"['VVG Neto', 'A de Lima Fontão']",2022,https://sol.sbc.org.br/index.php/sbsi_estendido/article/download/21614/21438
Proposta de um modelo para a implementação de um ambiente inteligente para o ensino de informática médica,['ACO Alves'],2002,https://repositorio.ufsc.br/bitstream/handle/123456789/84436/PEPS2530-D.pdf?sequence=1
Recommendation of Multimedia Content in Digital Convergence Environments: TV and Web,"['PKM Vieira', 'NCQ Lino']",2015,https://ieeexplore.ieee.org/abstract/document/7387256/
THIAGO RALF PEREIRA SANTOS,['IAE DIREITO'],NA,https://www.fdsm.edu.br/conteudo/dissertacoes/742a59871e7aae03e64ce4fc11e5cdc2.pdf
Uma Arquitetura de Software para Apoio ao Desenvolvimento de Sistemas de Diagnóstico Médicos por Imagem,['RA Venieris'],2018,https://www.academia.edu/download/73822074/34650.pdf
Modelo de classificação multivariável para identificação de enchentes: um estudo empírico no sistema de monitoramento de rios e-noe,['LAV Brito'],2019,https://www.teses.usp.br/teses/disponiveis/55/55134/tde-22082019-102714/en.php
3. EFICIÊNCIAS EM ATOS DE CONCENTRAÇÃO: QUAL É O PADRÃO DE ANÁLISE?,"['AO de Moura Leite', 'V de Castro Lameira', 'RRY Couto']",NA,https://www.womeninantitrust.org/_files/ugd/67a03a_c9e3f3f867dc4cc9a94007b565c1b7d7.pdf#page=93
